StockNum,Title,ItemID,Revision,Notes,MaxQty,Status,EktronID
11-12815,Vaccines Full Protection Magnet - English,242,03/2011,10&#189;&#8243; &#215; 3&#188;&#8243;,0,Online,59788
11-12815A,Vaccines Full Protection Magnet - Spanish,243,03/2011,10&#189;&#8243; &#215; 3&#188;&#8243;,0,Online,59789
11-12816,&#8220;Comfort Measures&#8221; Tear Off Sheets (Pads of 50 Sheets ea.) - Bilingual,155,10/2007,,5,InStock,24523
11-12816P,&#8220;Comfort Measures&#8221; Poster - Bilingual,167,10/2007,19&#8243; &#215; 25&#8243; Poster,25,InStock,24524
11-12845P,&#8220;Good Health Can Last a Lifetime&#8221; Poster - Bilingual,404,03/2011,11&#8243; &#215; 17&#8243; Poster,0,Online,
11-12849,Adolescent Immunization Program Brochure -Bilingual,225,02/2013,,0,CNA,
11-12851,&#8220;Vaccinate For Life&#8221; Brochure - Bilingual,312,08/2011,,0,Online,8589965317
11-12853P,&#8220;Vaccinate for Life&#8221; Poster - Bilingual,210,08/2011,11&#8243; &#215; 17&#8243; Poster,0,Online,
11-13079,First Responders ImmTrac Brochure - English,206,01/2009,,50,InStock,24537
11-13080P,First Responders Immtrac Poster - English,204,11/2008,22&#8243; &#215; 16&#8243; Poster,25,InStock,24538
11-13132,&#8220;Good Health Can Last a Lifetime&#8221; Adolescent Bookmark - Bilingual,218,08/2013,,0,CNA,
11-13175M,Immunization Schedule Magnet (BABY BEBA - Photo Frame Magnet) - Bilingual,200,03/2011,5&#189;&#8243; &#215; 8&#189;&#8243;,0,Online,59783
11-13231,&#8220;Vaccines & Me&#8221; Coloring Calendar 2014-2015 - Bilingual,299,12/2013,,0,CNA,
11-13539,ImmTrac Adult Consent Brochure - Bilingual,264,05/2011,,250,InStock,8589952456
11-13546,Additional Information Regarding Registry Benefits - Bilingual,416,05/2016,,0,Online,12884903011
11-13547P,&#8220;Recommended Vaccines for Children Birth to 12 Years of Age&#8221; Poster - Bilingual,263,01/2011,22&#8243; &#215; 17&#8243; Poster,10,InStock,8589952377
11-13548,Recommended Vaccines Equal Full Protection Banner - Bilingual,267,03/2011,17&#8243; &#215; 54&#8243; Poster,1000,InStock,8589953904
11-13643,&#8220;Protect Two from the Flu&#8221; Brochure - Bilingual,270,06/2011,,500,InStock,8589967271
11-13645P,&#8220;Protect Two from the Flu&#8221; Poster - Anglo - English,271,06/2011,,0,Online,8589957058
11-13645P-2,&#8220;Protect Two from the Flu&#8221; Poster - African American,278,06/2011,,0,Online,8589957057
11-13645PA,&#8220;Protect Two from the Flu&#8221; Poster - Latino - Spanish,279,06/2011,,0,Online,8589957059
11-13654P,Pertussis Cocooning Poster - Bilingual,275,04/2013,24&#8243; &#215; 18&#8243; Poster,25,InStock,8589957060
11-13655,Pertussis Cocooning Brochure - Bilingual,276,01/2016,,500,InStock,8589957061
11-13656,Pertussis Cocooning Handbook - English,277,08/2016,,0,Online,8589957062
11-13661M,&#8220;Vaccines Aren't Just for Kids&#8221; Magnet - English,282,12/2011,,0,Online,8589962478
11-13661MA,&#8220;Vaccines Aren't Just for Kids&#8221; Magnet - Spanish,301,12/2011,,0,Online,8589962479
11-13662,Vaccinator Pocket Guide,297,,,0,CNA,
11-13707,&#8220;ImmTrac Isn’'t Just For Kids&#8221; Brochure - English,310,12/2011,,500,InStock,8589965313
11-13707A,&#8220;ImmTrac Isn't Just for Kids&#8221; Brochure - Spanish,317,04/2012,,500,InStock,8589968090
11-13707P,&#8220;ImmTrac Isn’'t Just For Kids&#8221; Poster-African American Adults,305,12/2011,9&#188;&#8243; &#215; 12&#188;&#8243; Poster,0,Online,8589965319
11-13707P-2,&#8220;ImmTrac Isn’'t Just For Kids&#8221; Poster-Anglo Adults,307,12/2011,9&#188;&#8243; &#215; 12&#188;&#8243; Poster,25,InStock,8589965320
11-13707P-3,&#8220;ImmTrac Isn’'t Just For Kids&#8221; Poster-Hispanic Adults,308,12/2011,9&#188;&#8243; &#215; 12&#188;&#8243; Poster,25,InStock,8589965318
11-13708,"&#8220;ImmTrac is for you, too&#8221; Brochure - English",311,08/2015,,500,InStock,8589965314
11-13708A,"&#8220;ImmTrac is for you, too&#8221; Brochure - Spanish",318,04/2012,,500,InStock,8589968188
11-13708P,"&#8220;ImmTrac is for you, too&#8221; Poster-Young Adult",306,12/2011,9&#8243; &#215; 12&#8243; Poster,25,InStock,8589965315
11-13710,&#8220;Fight the Flu&#8221; Brochure - English,329,08/2015,,500,InStock,8589979011
11-13710A,&#8220;Fight the Flu&#8221; Brochure - Spanish,327,08/2015,,500,InStock,8589979012
11-13710P,&#8220;Fight The Flu&#8221; Poster - Bilingual,309,12/2011,,25,InStock,8589965316
11-13711,&#8220;Halt HPV&#8221; Brochure - English,320,04/2012,,0,Online,8589969024
11-13711A,&#8220;Halt HPV&#8221; Brochure - Spanish,321,04/2012,,0,Online,8589969027
11-13711P,&#8220;Halt HPV&#8221; Poster - Bilingual,315,12/2011,,0,Online,8589965857
11-13712,Meningitis Brochure - English,324,04/2012,,0,Online,8589970138
11-13712A,Meningitis Brochure - Spanish,325,08/2012,,0,Online,8589970649
11-14008,&#8220;Prevent Pertussis&#8221; Brochure - Bilingual,328,01/2013,,500,InStock,8589975188
11-14009P,&#8220;Now is the Time to Prevent Whooping Cough&#8221; Poster-Anglo Adults - English,330,11/2012,18&#8243; &#215; 24&#8243; Poster,0,Online,8589975192
